  5750| 9.50e+02  1.14e-05  4.49e+02 -1.55e+09  1.74e-05  1.41e+02 
  6000| 9.47e+02  1.21e-05  6.32e+02 -1.55e+09  1.74e-05  1.46e+02 
  6250| 9.45e+02  1.21e-05  3.85e+02 -1.54e+09  1.74e-05  1.51e+02 
  6500| 9.42e+02  1.23e-05  4.52e+02 -1.54e+09  1.74e-05  1.56e+02 
  6750| 1.68e+06  4.14e+01  4.18e+04 -1.51e+09  1.74e-05  1.61e+02 
  7000| 9.36e+02  1.26e-05  6.54e+02 -1.54e+09  1.74e-05  1.66e+02 
  7250| 9.33e+02  1.18e-05  5.06e+02 -1.54e+09  1.74e-05  1.71e+02 
  7500| 9.31e+02  1.15e-05  5.54e+02 -1.54e+09  1.74e-05  1.76e+02 
  7750| 9.28e+02  1.11e-05  4.24e+02 -1.54e+09  1.74e-05  1.81e+02 
  8000| 9.26e+02  1.13e-05  5.60e+02 -1.54e+09  1.74e-05  1.86e+02 
  8250| 9.24e+02  1.13e-05  3.68e+02 -1.54e+09  1.74e-05  1.91e+02 
  8500| 9.21e+02  1.09e-05  6.05e+02 -1.54e+09  1.74e-05  1.96e+02 
  8750| 9.19e+02  1.10e-05  5.25e+02 -1.54e+09  1.74e-05  2.01e+02 
  9000| 9.16e+02  1.11e-05  4.58e+02 -1.54e+09  1.74e-05  2.06e+02 
  9250| 9.14e+02  1.11e-05  4.62e+02 -1.54e+09  1.74e-05  2.11e+02 
  9500| 1.24e+06  3.04e+01  4.49e+05 -1.52e+09  1.74e-05  2.16e+02 
  9750| 9.09e+02  1.09e-05  4.50e+02 -1.54e+09  1.74e-05  2.21e+02 
 10000| 9.07e+02  1.11e-05  5.01e+02 -1.54e+09  1.74e-05  2.26e+02 
 10250| 9.04e+02  1.10e-05  6.08e+02 -1.54e+09  1.74e-05  2.31e+02 
 10500| 9.02e+02  1.11e-05  5.47e+02 -1.54e+09  1.74e-05  2.36e+02 
 10750| 9.00e+02  1.11e-05  5.56e+02 -1.54e+09  1.74e-05  2.41e+02 
 11000| 8.96e+02  1.07e-04  3.09e+03 -1.54e+09  5.51e-05  2.46e+02 
 11250| 1.19e+05  9.32e+00  3.19e+05 -1.51e+09  5.51e-05  2.50e+02 
 11500| 8.81e+02  1.04e-04  3.09e+03 -1.54e+09  5.51e-05  2.55e+02 
 11750| 8.74e+02  1.03e-04  2.99e+03 -1.54e+09  5.51e-05  2.60e+02 
 12000| 8.67e+02  1.01e-04  3.00e+03 -1.54e+09  5.51e-05  2.65e+02 
 12250| 8.60e+02  1.02e-04  2.98e+03 -1.54e+09  5.51e-05  2.70e+02 
 12500| 8.54e+02  1.00e-04  2.97e+03 -1.54e+09  5.51e-05  2.74e+02 
 12750| 8.47e+02  9.95e-05  2.92e+03 -1.53e+09  5.51e-05  2.79e+02 
 13000| 8.41e+02  9.88e-05  2.92e+03 -1.53e+09  5.51e-05  2.84e+02 
 13250| 8.34e+02  9.75e-05  2.88e+03 -1.53e+09  5.51e-05  2.89e+02 
 13500| 8.29e+02  9.69e-05  2.86e+03 -1.53e+09  5.51e-05  2.94e+02 
 13750| 8.27e+02  9.55e-05  2.82e+03 -1.53e+09  5.51e-05  2.99e+02 
 14000| 6.74e+03  4.85e-01  7.42e+05 -1.54e+09  5.51e-05  3.04e+02 
 14250| 8.23e+02  9.53e-05  2.84e+03 -1.53e+09  5.51e-05  3.09e+02 
 14500| 8.22e+02  9.40e-05  2.74e+03 -1.53e+09  5.51e-05  3.14e+02 
 14750| 8.20e+02  9.32e-05  2.77e+03 -1.53e+09  5.51e-05  3.19e+02 
 15000| 8.18e+02  9.28e-05  2.72e+03 -1.53e+09  5.51e-05  3.25e+02 
 15250| 8.16e+02  9.22e-05  2.71e+03 -1.53e+09  5.51e-05  3.30e+02 
 15500| 8.14e+02  9.17e-05  2.70e+03 -1.53e+09  5.51e-05  3.35e+02 
 15750| 8.12e+02  9.11e-05  2.69e+03 -1.53e+09  5.51e-05  3.40e+02 
 16000| 8.11e+02  9.06e-05  2.63e+03 -1.52e+09  5.51e-05  3.46e+02 
 16250| 8.09e+02  8.92e-05  2.62e+03 -1.52e+09  5.51e-05  3.53e+02 
 16500| 8.07e+02  8.90e-05  2.62e+03 -1.52e+09  5.51e-05  3.61e+02 
 16750| 2.93e+05  2.29e+01  2.03e+04 -1.50e+09  5.51e-05  3.69e+02 
 17000| 8.04e+02  8.78e-05  2.60e+03 -1.52e+09  5.51e-05  3.75e+02 
 17250| 8.02e+02  8.72e-05  2.58e+03 -1.52e+09  5.51e-05  3.83e+02 
 17500| 8.00e+02  8.64e-05  2.56e+03 -1.52e+09  5.51e-05  3.91e+02 
 17750| 7.99e+02  8.67e-05  2.53e+03 -1.52e+09  5.51e-05  4.00e+02 
 18000| 7.97e+02  8.64e-05  2.52e+03 -1.52e+09  5.51e-05  4.05e+02 
 18250| 7.96e+02  8.55e-05  2.54e+03 -1.52e+09  5.51e-05  4.11e+02 
 18500| 7.95e+02  8.49e-05  2.49e+03 -1.52e+09  5.51e-05  4.17e+02 
 18750| 7.94e+02  8.49e-05  2.50e+03 -1.52e+09  5.51e-05  4.23e+02 
 19000| 7.93e+02  8.44e-05  2.48e+03 -1.52e+09  5.51e-05  4.30e+02 
 19250| 7.93e+02  8.41e-05  2.47e+03 -1.52e+09  5.51e-05  4.37e+02 
 19500| 7.72e+05  6.02e+01  1.44e+04 -1.48e+09  5.51e-05  4.42e+02 
 19750| 7.91e+02  8.22e-05  2.45e+03 -1.51e+09  5.51e-05  4.47e+02 
 20000| 7.90e+02  8.24e-05  2.43e+03 -1.51e+09  5.51e-05  4.52e+02 
 20250| 7.89e+02  8.24e-05  2.43e+03 -1.51e+09  5.51e-05  4.57e+02 
 20500| 7.89e+02  8.26e-05  2.44e+03 -1.51e+09  5.51e-05  4.62e+02 
 20750| 7.88e+02  8.05e-05  2.39e+03 -1.51e+09  5.51e-05  4.67e+02 
 21000| 7.87e+02  8.11e-05  2.39e+03 -1.51e+09  5.51e-05  4.72e+02 
 21250| 7.87e+02  8.08e-05  2.41e+03 -1.51e+09  5.51e-05  4.80e+02 
 21500| 7.86e+02  8.15e-05  2.37e+03 -1.51e+09  5.51e-05  4.85e+02 
 21750| 7.85e+02  8.02e-05  2.36e+03 -1.51e+09  5.51e-05  4.90e+02 
 22000| 7.85e+02  7.85e-05  2.30e+03 -1.51e+09  5.51e-05  4.95e+02 
 22250| 7.93e+04  6.18e+00  1.42e+04 -1.50e+09  5.51e-05  5.00e+02 
 22500| 7.83e+02  7.86e-05  2.29e+03 -1.51e+09  5.51e-05  5.05e+02 
 22750| 7.82e+02  7.79e-05  2.28e+03 -1.51e+09  5.51e-05  5.10e+02 
 23000| 7.81e+02  7.81e-05  2.28e+03 -1.51e+09  5.51e-05  5.15e+02 
 23250| 7.81e+02  7.72e-05  2.24e+03 -1.50e+09  5.51e-05  5.20e+02 
 23500| 7.80e+02  7.75e-05  2.29e+03 -1.50e+09  5.51e-05  5.25e+02 
 23750| 7.79e+02  7.66e-05  2.25e+03 -1.50e+09  5.51e-05  5.30e+02 
 24000| 7.78e+02  7.60e-05  2.21e+03 -1.50e+09  5.51e-05  5.35e+02 
 24250| 7.78e+02  7.60e-05  2.24e+03 -1.50e+09  5.51e-05  5.40e+02 
 24500| 7.77e+02  7.62e-05  2.21e+03 -1.50e+09  5.51e-05  5.46e+02 
 24750| 7.76e+02  7.61e-05  2.24e+03 -1.50e+09  5.51e-05  5.50e+02 
 25000| 1.79e+05  1.39e+01  9.99e+04 -1.47e+09  5.51e-05  5.55e+02 
 25250| 7.75e+02  7.52e-05  2.22e+03 -1.50e+09  5.51e-05  5.60e+02 
 25500| 7.75e+02  7.51e-05  2.21e+03 -1.50e+09  5.51e-05  5.65e+02 
 25750| 7.74e+02  7.42e-05  2.17e+03 -1.50e+09  5.51e-05  5.71e+02 
 26000| 7.73e+02  7.47e-05  2.17e+03 -1.50e+09  5.51e-05  5.76e+02 
 26250| 7.73e+02  7.41e-05  2.16e+03 -1.50e+09  5.51e-05  5.81e+02 
 26500| 7.72e+02  7.39e-05  2.14e+03 -1.50e+09  5.51e-05  5.86e+02 
 26750| 7.71e+02  7.41e-05  2.12e+03 -1.50e+09  5.51e-05  5.91e+02 
 27000| 7.71e+02  7.36e-05  2.13e+03 -1.49e+09  5.51e-05  5.96e+02 
 27250| 7.70e+02  7.42e-05  2.17e+03 -1.49e+09  5.51e-05  6.01e+02 
 27500| 7.70e+02  7.29e-05  2.11e+03 -1.49e+09  5.51e-05  6.06e+02 
 27750| 2.09e+05  1.63e+01  5.19e+04 -1.45e+09  5.51e-05  6.11e+02 
 28000| 7.68e+02  7.28e-05  2.15e+03 -1.49e+09  5.51e-05  6.16e+02 
 28250| 7.68e+02  7.29e-05  2.15e+03 -1.49e+09  5.51e-05  6.21e+02 
 28500| 7.67e+02  7.25e-05  2.12e+03 -1.49e+09  5.51e-05  6.27e+02 
 28750| 7.67e+02  7.22e-05  2.15e+03 -1.49e+09  5.51e-05  6.32e+02 
 29000| 7.66e+02  7.15e-05  2.06e+03 -1.49e+09  5.51e-05  6.37e+02 
 29250| 7.66e+02  7.16e-05  2.08e+03 -1.49e+09  5.51e-05  6.42e+02 
 29500| 7.65e+02  7.17e-05  2.10e+03 -1.49e+09  5.51e-05  6.47e+02 
 29750| 7.65e+02  7.12e-05  2.05e+03 -1.49e+09  5.51e-05  6.52e+02 
 30000| 7.64e+02  7.12e-05  2.04e+03 -1.49e+09  5.51e-05  6.57e+02 
 30250| 7.64e+02  7.06e-05  2.05e+03 -1.49e+09  5.51e-05  6.62e+02 
 30500| 2.98e+05  2.32e+01  1.25e+05 -1.44e+09  5.51e-05  6.68e+02 
 30750| 7.62e+02  7.06e-05  2.05e+03 -1.49e+09  5.51e-05  6.73e+02 
 31000| 7.62e+02  7.02e-05  2.03e+03 -1.48e+09  5.51e-05  6.78e+02 
 31250| 7.61e+02  7.02e-05  2.03e+03 -1.48e+09  5.51e-05  6.83e+02 
 31500| 7.61e+02  6.94e-05  2.00e+03 -1.48e+09  5.51e-05  6.88e+02 
 31750| 7.60e+02  6.90e-05  2.01e+03 -1.48e+09  5.51e-05  6.94e+02 
 32000| 7.60e+02  6.98e-05  2.05e+03 -1.48e+09  5.51e-05  6.99e+02 
 32250| 7.59e+02  6.87e-05  1.99e+03 -1.48e+09  5.51e-05  7.04e+02 
 32500| 7.59e+02  6.93e-05  2.01e+03 -1.48e+09  5.51e-05  7.09e+02 
 32750| 7.58e+02  6.84e-05  1.97e+03 -1.48e+09  5.51e-05  7.14e+02 
 33000| 7.58e+02  6.85e-05  1.96e+03 -1.48e+09  5.51e-05  7.19e+02 
 33250| 1.98e+05  1.54e+01  4.35e+05 -1.44e+09  5.51e-05  7.24e+02 
 33500| 7.57e+02  6.75e-05  1.98e+03 -1.48e+09  5.51e-05  7.30e+02 
 33750| 7.56e+02  6.79e-05  1.93e+03 -1.48e+09  5.51e-05  7.36e+02 
 34000| 7.56e+02  6.74e-05  1.96e+03 -1.48e+09  5.51e-05  7.41e+02 
 34250| 7.56e+02  6.72e-05  1.98e+03 -1.48e+09  5.51e-05  7.46e+02 
 34500| 7.55e+02  6.73e-05  1.91e+03 -1.48e+09  5.51e-05  7.51e+02 
 34750| 7.55e+02  6.73e-05  1.96e+03 -1.48e+09  5.51e-05  7.56e+02 
 35000| 7.54e+02  6.73e-05  1.89e+03 -1.47e+09  5.51e-05  7.61e+02 
 35250| 7.54e+02  6.79e-05  1.97e+03 -1.47e+09  5.51e-05  7.66e+02 
 35500| 7.53e+02  6.70e-05  1.92e+03 -1.47e+09  5.51e-05  7.71e+02 
 35750| 7.53e+02  6.75e-05  1.94e+03 -1.47e+09  5.51e-05  7.77e+02 
 36000| 4.62e+05  3.60e+01  2.42e+04 -1.42e+09  5.51e-05  7.82e+02 
 36250| 7.52e+02  6.66e-05  1.92e+03 -1.47e+09  5.51e-05  7.87e+02 
 36500| 7.51e+02  6.62e-05  1.91e+03 -1.47e+09  5.51e-05  7.92e+02 
 36750| 7.51e+02  6.58e-05  1.92e+03 -1.47e+09  5.51e-05  7.97e+02 
 37000| 7.50e+02  6.60e-05  1.90e+03 -1.47e+09  5.51e-05  8.02e+02 
 37250| 7.50e+02  6.56e-05  1.90e+03 -1.47e+09  5.51e-05  8.07e+02 
 37500| 7.49e+02  6.59e-05  1.86e+03 -1.47e+09  5.51e-05  8.12e+02 
 37750| 7.49e+02  6.57e-05  1.89e+03 -1.47e+09  5.51e-05  8.16e+02 
 38000| 7.49e+02  6.64e-05  1.86e+03 -1.47e+09  5.51e-05  8.21e+02 
 38250| 7.48e+02  6.51e-05  1.88e+03 -1.47e+09  5.51e-05  8.26e+02 
 38500| 7.48e+02  6.61e-05  1.90e+03 -1.47e+09  5.51e-05  8.33e+02 
 38750| 1.82e+05  1.42e+01  4.14e+04 -1.43e+09  5.51e-05  8.39e+02 
 39000| 7.47e+02  6.51e-05  1.89e+03 -1.47e+09  5.51e-05  8.47e+02 
 39250| 7.46e+02  6.48e-05  1.83e+03 -1.46e+09  5.51e-05  8.54e+02 
 39500| 7.46e+02  6.44e-05  1.85e+03 -1.46e+09  5.51e-05  8.61e+02 
 39750| 7.45e+02  6.43e-05  1.84e+03 -1.46e+09  5.51e-05  8.68e+02 
 40000| 7.45e+02  6.43e-05  1.84e+03 -1.46e+09  5.51e-05  8.75e+02 
 40250| 7.44e+02  6.42e-05  1.84e+03 -1.46e+09  5.51e-05  8.82e+02 
 40500| 7.44e+02  6.40e-05  1.83e+03 -1.46e+09  5.51e-05  8.88e+02 
 40750| 7.44e+02  6.46e-05  1.84e+03 -1.46e+09  5.51e-05  8.96e+02 
 41000| 7.43e+02  6.40e-05  1.79e+03 -1.46e+09  5.51e-05  9.02e+02 
 41250| 7.43e+02  6.36e-05  1.82e+03 -1.46e+09  5.51e-05  9.09e+02 
 41500| 2.36e+06  1.84e+02  2.18e+04 -1.36e+09  5.51e-05  9.16e+02 
 41750| 7.42e+02  6.28e-05  1.79e+03 -1.46e+09  5.51e-05  9.23e+02 
 42000| 7.41e+02  6.33e-05  1.80e+03 -1.46e+09  5.51e-05  9.30e+02 
 42250| 7.41e+02  6.21e-05  1.79e+03 -1.46e+09  5.51e-05  9.37e+02 
 42500| 7.41e+02  6.31e-05  1.79e+03 -1.46e+09  5.51e-05  9.44e+02 
 42750| 7.40e+02  6.26e-05  1.77e+03 -1.46e+09  5.51e-05  9.51e+02 
 43000| 7.40e+02  6.36e-05  1.79e+03 -1.46e+09  5.51e-05  9.58e+02 
 43250| 7.39e+02  6.23e-05  1.78e+03 -1.46e+09  5.51e-05  9.65e+02 
 43500| 7.39e+02  6.27e-05  1.79e+03 -1.45e+09  5.51e-05  9.71e+02 
 43750| 7.39e+02  6.25e-05  1.80e+03 -1.45e+09  5.51e-05  9.78e+02 
 44000| 7.38e+02  6.29e-05  1.76e+03 -1.45e+09  5.51e-05  9.85e+02 
 44250| 2.61e+04  1.90e+00  3.91e+04 -1.47e+09  5.51e-05  9.91e+02 
 44500| 7.37e+02  6.18e-05  1.73e+03 -1.45e+09  5.51e-05  9.98e+02 
 44750| 7.37e+02  6.16e-05  1.75e+03 -1.45e+09  5.51e-05  1.00e+03 
 45000| 7.36e+02  6.12e-05  1.75e+03 -1.45e+09  5.51e-05  1.01e+03 
 45250| 7.36e+02  6.17e-05  1.73e+03 -1.45e+09  5.51e-05  1.02e+03 
 45500| 7.36e+02  6.11e-05  1.74e+03 -1.45e+09  5.51e-05  1.03e+03 
 45750| 7.35e+02  6.09e-05  1.74e+03 -1.45e+09  5.51e-05  1.03e+03 
 46000| 7.35e+02  6.09e-05  1.74e+03 -1.45e+09  5.51e-05  1.04e+03 
 46250| 7.34e+02  6.06e-05  1.71e+03 -1.45e+09  5.51e-05  1.05e+03 
 46500| 7.34e+02  6.17e-05  1.72e+03 -1.45e+09  5.51e-05  1.05e+03 
 46750| 7.34e+02  6.12e-05  1.72e+03 -1.45e+09  5.51e-05  1.06e+03 
 47000| 4.97e+03  3.21e-01  5.23e+03 -1.44e+09  5.51e-05  1.07e+03 
 47250| 7.33e+02  6.09e-05  1.71e+03 -1.45e+09  5.51e-05  1.07e+03 
 47500| 7.32e+02  6.10e-05  1.72e+03 -1.45e+09  5.51e-05  1.08e+03 
 47750| 7.32e+02  6.01e-05  1.67e+03 -1.45e+09  5.51e-05  1.08e+03 
 48000| 7.32e+02  6.06e-05  1.71e+03 -1.44e+09  5.51e-05  1.09e+03 
 48250| 7.31e+02  6.03e-05  1.70e+03 -1.44e+09  5.51e-05  1.10e+03 
 48500| 7.31e+02  6.04e-05  1.70e+03 -1.44e+09  5.51e-05  1.10e+03 
 48750| 7.30e+02  6.03e-05  1.70e+03 -1.44e+09  5.51e-05  1.11e+03 
 49000| 7.30e+02  5.84e-05  1.67e+03 -1.44e+09  5.51e-05  1.11e+03 
 49250| 7.30e+02  5.96e-05  1.67e+03 -1.44e+09  5.51e-05  1.12e+03 
 49500| 7.29e+02  5.98e-05  1.68e+03 -1.44e+09  5.51e-05  1.12e+03 
 49750| 4.10e+05  3.19e+01  1.96e+05 -1.42e+09  5.51e-05  1.13e+03 
 50000| 7.28e+02  5.96e-05  1.66e+03 -1.44e+09  5.51e-05  1.13e+03 
 50250| 7.28e+02  5.98e-05  1.67e+03 -1.44e+09  5.51e-05  1.14e+03 
 50500| 7.28e+02  5.92e-05  1.66e+03 -1.44e+09  5.51e-05  1.14e+03 
 50750| 7.27e+02  5.89e-05  1.65e+03 -1.44e+09  5.51e-05  1.15e+03 
 51000| 7.27e+02  5.89e-05  1.67e+03 -1.44e+09  5.51e-05  1.15e+03 
 51250| 7.27e+02  5.85e-05  1.65e+03 -1.44e+09  5.51e-05  1.16e+03 
 51500| 7.26e+02  5.86e-05  1.64e+03 -1.44e+09  5.51e-05  1.16e+03 
 51750| 7.26e+02  5.88e-05  1.65e+03 -1.44e+09  5.51e-05  1.17e+03 
 52000| 7.25e+02  5.83e-05  1.63e+03 -1.44e+09  5.51e-05  1.17e+03 
 52250| 7.25e+02  5.81e-05  1.61e+03 -1.44e+09  5.51e-05  1.18e+03 
 52500| 1.23e+05  9.55e+00  9.33e+03 -1.42e+09  5.51e-05  1.18e+03 
 52750| 7.24e+02  5.75e-05  1.59e+03 -1.43e+09  5.51e-05  1.19e+03 
 53000| 7.24e+02  5.71e-05  1.58e+03 -1.43e+09  5.51e-05  1.19e+03 
 53250| 7.23e+02  5.80e-05  1.63e+03 -1.43e+09  5.51e-05  1.20e+03 
 53500| 7.23e+02  5.83e-05  1.65e+03 -1.43e+09  5.51e-05  1.20e+03 
 53750| 7.23e+02  5.78e-05  1.64e+03 -1.43e+09  5.51e-05  1.21e+03 
 54000| 7.22e+02  5.72e-05  1.60e+03 -1.43e+09  5.51e-05  1.21e+03 
 54250| 7.22e+02  5.76e-05  1.60e+03 -1.43e+09  5.51e-05  1.22e+03 
 54500| 7.22e+02  5.64e-05  1.59e+03 -1.43e+09  5.51e-05  1.22e+03 
 54750| 7.21e+02  5.72e-05  1.58e+03 -1.43e+09  5.51e-05  1.23e+03 
 55000| 7.21e+02  5.71e-05  1.58e+03 -1.43e+09  5.51e-05  1.23e+03 
 55250| 1.18e+03  7.19e-02  1.78e+04 -1.43e+09  5.51e-05  1.24e+03 
 55500| 7.20e+02  5.73e-05  1.61e+03 -1.43e+09  5.51e-05  1.24e+03 
 55750| 7.20e+02  5.65e-05  1.59e+03 -1.43e+09  5.51e-05  1.25e+03 
 56000| 7.19e+02  5.70e-05  1.57e+03 -1.43e+09  5.51e-05  1.25e+03 
 56250| 7.19e+02  5.61e-05  1.56e+03 -1.43e+09  5.51e-05  1.26e+03 
 56500| 7.18e+02  5.66e-05  1.54e+03 -1.43e+09  5.51e-05  1.26e+03 
 56750| 7.18e+02  5.66e-05  1.57e+03 -1.43e+09  5.51e-05  1.27e+03 
 57000| 7.18e+02  5.64e-05  1.58e+03 -1.43e+09  5.51e-05  1.27e+03 
 57250| 7.17e+02  5.61e-05  1.56e+03 -1.42e+09  5.51e-05  1.28e+03 
 57500| 7.17e+02  5.63e-05  1.58e+03 -1.42e+09  5.51e-05  1.28e+03 
 57750| 7.17e+02  5.58e-05  1.56e+03 -1.42e+09  5.51e-05  1.29e+03 
 58000| 4.33e+06  3.37e+02  5.99e+04 -1.33e+09  5.51e-05  1.29e+03 
 58250| 7.16e+02  5.59e-05  1.52e+03 -1.42e+09  5.51e-05  1.30e+03 
 58500| 7.15e+02  5.57e-05  1.58e+03 -1.42e+09  5.51e-05  1.31e+03 
 58750| 7.15e+02  5.61e-05  1.55e+03 -1.42e+09  5.51e-05  1.31e+03 
 59000| 7.15e+02  5.57e-05  1.54e+03 -1.42e+09  5.51e-05  1.32e+03 
 59250| 7.14e+02  5.56e-05  1.56e+03 -1.42e+09  5.51e-05  1.32e+03 
 59500| 7.14e+02  5.57e-05  1.56e+03 -1.42e+09  5.51e-05  1.33e+03 
 59750| 7.13e+02  5.51e-05  1.53e+03 -1.42e+09  5.51e-05  1.33e+03 
 60000| 7.13e+02  5.54e-05  1.51e+03 -1.42e+09  5.51e-05  1.34e+03 
 60250| 7.13e+02  5.49e-05  1.55e+03 -1.42e+09  5.51e-05  1.34e+03 
 60500| 7.12e+02  5.50e-05  1.54e+03 -1.42e+09  5.51e-05  1.35e+03 
 60750| 1.35e+06  1.05e+02  1.10e+03 -1.37e+09  5.51e-05  1.35e+03 
 61000| 7.11e+02  5.53e-05  1.56e+03 -1.42e+09  5.51e-05  1.36e+03 
 61250| 7.11e+02  5.46e-05  1.47e+03 -1.42e+09  5.51e-05  1.36e+03 
 61500| 7.11e+02  5.48e-05  1.49e+03 -1.42e+09  5.51e-05  1.37e+03 
 61750| 7.10e+02  5.42e-05  1.52e+03 -1.42e+09  5.51e-05  1.37e+03 
 62000| 7.10e+02  5.39e-05  1.50e+03 -1.41e+09  5.51e-05  1.38e+03 
 62250| 7.09e+02  5.44e-05  1.51e+03 -1.41e+09  5.51e-05  1.38e+03 
 62500| 7.09e+02  5.39e-05  1.50e+03 -1.41e+09  5.51e-05  1.39e+03 
 62750| 7.09e+02  5.42e-05  1.49e+03 -1.41e+09  5.51e-05  1.39e+03 
 63000| 7.08e+02  5.39e-05  1.51e+03 -1.41e+09  5.51e-05  1.40e+03 
 63250| 7.08e+02  5.42e-05  1.49e+03 -1.41e+09  5.51e-05  1.40e+03 
 63500| 8.38e+06  6.53e+02  1.05e+03 -1.26e+09  5.51e-05  1.41e+03 
 63750| 7.07e+02  5.38e-05  1.46e+03 -1.41e+09  5.51e-05  1.41e+03 
 64000| 7.07e+02  5.42e-05  1.49e+03 -1.41e+09  5.51e-05  1.42e+03 
 64250| 7.06e+02  5.31e-05  1.45e+03 -1.41e+09  5.51e-05  1.42e+03 
 64500| 7.06e+02  5.41e-05  1.50e+03 -1.41e+09  5.51e-05  1.43e+03 
 64750| 7.05e+02  5.33e-05  1.48e+03 -1.41e+09  5.51e-05  1.43e+03 
 65000| 7.05e+02  5.31e-05  1.50e+03 -1.41e+09  5.51e-05  1.44e+03 
 65250| 7.04e+02  5.30e-05  1.48e+03 -1.41e+09  5.51e-05  1.44e+03 
