===============================================================================
                                     CVXPY                                     
                                     v1.4.1                                    
===============================================================================
(CVXPY) Jan 18 12:40:31 PM: Your problem has 40000 variables, 1060 constraints, and 0 parameters.
(CVXPY) Jan 18 12:40:32 PM: It is compliant with the following grammars: DCP, DQCP
(CVXPY) Jan 18 12:40:32 PM: (If you need to solve this problem multiple times, but with different data, consider using parameters.)
(CVXPY) Jan 18 12:40:32 PM: CVXPY will first compile your problem; then, it will invoke a numerical solver to obtain a solution.
(CVXPY) Jan 18 12:40:32 PM: Your problem is compiled with the CPP canonicalization backend.
-------------------------------------------------------------------------------
                                  Compilation                                  
-------------------------------------------------------------------------------
(CVXPY) Jan 18 12:40:32 PM: Compiling problem (target solver=SCS).
(CVXPY) Jan 18 12:40:32 PM: Reduction chain: FlipObjective -> Dcp2Cone -> CvxAttr2Constr -> ConeMatrixStuffing -> SCS
(CVXPY) Jan 18 12:40:32 PM: Applying reduction FlipObjective
(CVXPY) Jan 18 12:40:32 PM: Applying reduction Dcp2Cone
(CVXPY) Jan 18 12:40:32 PM: Applying reduction CvxAttr2Constr
(CVXPY) Jan 18 12:40:33 PM: Applying reduction ConeMatrixStuffing
(CVXPY) Jan 18 12:41:04 PM: Applying reduction SCS
(CVXPY) Jan 18 12:41:05 PM: Finished problem compilation (took 3.314e+01 seconds).
-------------------------------------------------------------------------------
                                Numerical solver                               
-------------------------------------------------------------------------------
(CVXPY) Jan 18 12:41:05 PM: Invoking solver SCS  to obtain a solution.
------------------------------------------------------------------
	       SCS v3.2.4 - Splitting Conic Solver
	(c) Brendan O'Donoghue, Stanford University, 2012
------------------------------------------------------------------
problem:  variables n: 20100, constraints m: 21160
cones: 	  z: primal zero / dual free vars: 1059
	  l: linear vars: 1
	  s: psd vars: 20100, ssize: 1
settings: eps_abs: 1.0e-05, eps_rel: 1.0e-05, eps_infeas: 1.0e-07
	  alpha: 1.50, scale: 1.00e-01, adaptive_scale: 1
	  max_iters: 1000000, normalize: 1, rho_x: 1.00e-06
	  acceleration_lookback: 10, acceleration_interval: 10
lin-sys:  sparse-direct-amd-qdldl
	  nnz(A): 43574, nnz(P): 0
------------------------------------------------------------------
 iter | pri res | dua res |   gap   |   obj   |  scale  | time (s)
------------------------------------------------------------------
     0| 1.99e+07  1.14e+05  3.69e+09 -2.28e+09  1.00e-01  1.06e-01 
   250| 3.50e+03  2.32e-02  5.21e+05 -1.56e+09  1.74e-05  6.71e+00 
   500| 1.39e+03  6.10e-04  8.70e+02 -1.56e+09  1.74e-05  1.35e+01 
   750| 1.49e+03  1.89e-04  9.61e+02 -1.56e+09  1.74e-05  2.02e+01 
  1000| 1.53e+05  4.01e+00  1.67e+04 -1.57e+09  1.74e-05  2.66e+01 
  1250| 1.14e+03  3.24e-04  7.63e+02 -1.55e+09  1.74e-05  3.30e+01 
  1500| 3.48e+03  1.01e-01  1.73e+04 -1.55e+09  1.74e-05  3.95e+01 
  1750| 9.95e+02  2.24e-04  2.79e+03 -1.55e+09  1.74e-05  4.58e+01 
  2000| 1.13e+03  7.26e-03  7.22e+03 -1.55e+09  1.74e-05  5.22e+01 
  2250| 2.01e+03  3.34e-02  1.03e+03 -1.55e+09  1.74e-05  5.88e+01 
  2500| 1.15e+03  2.20e-03  6.23e+02 -1.55e+09  1.74e-05  6.60e+01 
  2750| 9.57e+02  1.74e-04  3.25e+02 -1.55e+09  1.74e-05  7.44e+01 
  3000| 9.90e+02  1.68e-05  5.54e+02 -1.55e+09  1.74e-05  8.02e+01 
  3250| 9.78e+02  1.33e-05  6.81e+02 -1.55e+09  1.74e-05  8.74e+01 
  3500| 9.73e+02  1.34e-05  6.06e+02 -1.55e+09  1.74e-05  9.32e+01 
  3750| 9.70e+02  1.24e-05  6.22e+02 -1.55e+09  1.74e-05  9.88e+01 
  4000| 9.98e+04  2.46e+00  1.82e+05 -1.54e+09  1.74e-05  1.06e+02 
  4250| 9.65e+02  1.23e-05  5.64e+02 -1.55e+09  1.74e-05  1.11e+02 
  4500| 9.62e+02  1.24e-05  5.38e+02 -1.55e+09  1.74e-05  1.16e+02 
  4750| 9.60e+02  1.39e-05  6.70e+02 -1.55e+09  1.74e-05  1.21e+02 
  5000| 9.58e+02  1.36e-05  6.25e+02 -1.55e+09  1.74e-05  1.26e+02 
  5250| 9.56e+02  1.28e-05  5.57e+02 -1.55e+09  1.74e-05  1.31e+02 
  5500| 9.53e+02  1.22e-05  5.43e+02 -1.55e+09  1.74e-05  1.36e+02 
