 17250| 1.66e+05  1.24e+01  6.80e+04 -1.15e+09  5.27e-05  4.62e+02 
 17500| 1.06e+03  1.15e-04  3.43e+03 -1.16e+09  5.27e-05  4.69e+02 
 17750| 1.06e+03  1.29e-04  3.40e+03 -1.16e+09  5.27e-05  4.76e+02 
 18000| 1.05e+03  1.57e-04  3.35e+03 -1.16e+09  5.27e-05  4.82e+02 
 18250| 1.04e+03  1.36e-04  3.32e+03 -1.16e+09  5.27e-05  4.89e+02 
 18500| 1.03e+03  1.26e-04  3.27e+03 -1.16e+09  5.27e-05  4.96e+02 
 18750| 1.03e+03  1.17e-04  3.21e+03 -1.15e+09  5.27e-05  5.03e+02 
 19000| 1.02e+03  1.10e-04  3.22e+03 -1.15e+09  5.27e-05  5.09e+02 
 19250| 1.01e+03  1.07e-04  3.17e+03 -1.15e+09  5.27e-05  5.16e+02 
 19500| 1.01e+03  1.06e-04  3.16e+03 -1.15e+09  5.27e-05  5.23e+02 
 19750| 1.01e+03  1.05e-04  3.12e+03 -1.15e+09  5.27e-05  5.30e+02 
 20000| 1.08e+05  7.23e+00  7.30e+04 -1.18e+09  5.27e-05  5.36e+02 
 20250| 1.00e+03  1.03e-04  3.13e+03 -1.15e+09  5.27e-05  5.43e+02 
 20500| 9.96e+02  1.02e-04  3.10e+03 -1.15e+09  5.27e-05  5.50e+02 
 20750| 9.93e+02  1.01e-04  3.07e+03 -1.15e+09  5.27e-05  5.56e+02 
 21000| 9.90e+02  1.01e-04  3.07e+03 -1.15e+09  5.27e-05  5.63e+02 
 21250| 9.86e+02  1.01e-04  3.06e+03 -1.15e+09  5.27e-05  5.70e+02 
 21500| 9.83e+02  9.92e-05  3.04e+03 -1.15e+09  5.27e-05  5.77e+02 
 21750| 9.80e+02  9.88e-05  3.01e+03 -1.15e+09  5.27e-05  5.84e+02 
 22000| 9.77e+02  9.91e-05  3.00e+03 -1.15e+09  5.27e-05  5.91e+02 
 22250| 9.74e+02  9.89e-05  3.01e+03 -1.15e+09  5.27e-05  5.97e+02 
 22500| 9.71e+02  1.19e-04  2.96e+03 -1.14e+09  5.27e-05  6.04e+02 
 22750| 9.66e+02  1.90e-02  3.96e+04 -1.15e+09  5.27e-05  6.11e+02 
 23000| 9.64e+02  1.01e-04  2.95e+03 -1.14e+09  5.27e-05  6.18e+02 
 23250| 9.61e+02  9.70e-05  2.96e+03 -1.14e+09  5.27e-05  6.25e+02 
 23500| 9.58e+02  9.47e-05  2.93e+03 -1.14e+09  5.27e-05  6.31e+02 
 23750| 9.55e+02  9.43e-05  2.92e+03 -1.14e+09  5.27e-05  6.38e+02 
 24000| 9.52e+02  9.46e-05  2.91e+03 -1.14e+09  5.27e-05  6.45e+02 
 24250| 9.49e+02  9.40e-05  2.89e+03 -1.14e+09  5.27e-05  6.52e+02 
 24500| 9.47e+02  9.37e-05  2.91e+03 -1.14e+09  5.27e-05  6.59e+02 
 24750| 9.44e+02  9.33e-05  2.89e+03 -1.14e+09  5.27e-05  6.65e+02 
 25000| 9.41e+02  9.29e-05  2.86e+03 -1.14e+09  5.27e-05  6.72e+02 
 25250| 9.38e+02  9.30e-05  2.86e+03 -1.14e+09  5.27e-05  6.79e+02 
 25500| 1.14e+04  8.46e-01  2.13e+04 -1.14e+09  5.27e-05  6.86e+02 
 25750| 9.32e+02  9.25e-05  2.86e+03 -1.14e+09  5.27e-05  6.92e+02 
 26000| 9.30e+02  9.19e-05  2.84e+03 -1.14e+09  5.27e-05  6.99e+02 
 26250| 9.27e+02  9.08e-05  2.80e+03 -1.14e+09  5.27e-05  7.06e+02 
 26500| 9.24e+02  9.08e-05  2.83e+03 -1.13e+09  5.27e-05  7.12e+02 
 26750| 9.22e+02  9.06e-05  2.80e+03 -1.13e+09  5.27e-05  7.19e+02 
 27000| 9.19e+02  8.98e-05  2.78e+03 -1.13e+09  5.27e-05  7.26e+02 
 27250| 9.16e+02  9.01e-05  2.78e+03 -1.13e+09  5.27e-05  7.33e+02 
 27500| 9.14e+02  9.03e-05  2.80e+03 -1.13e+09  5.27e-05  7.40e+02 
 27750| 9.11e+02  8.91e-05  2.76e+03 -1.13e+09  5.27e-05  7.47e+02 
 28000| 9.08e+02  8.89e-05  2.77e+03 -1.13e+09  5.27e-05  7.53e+02 
 28250| 7.70e+06  5.74e+02  1.09e+06 -1.28e+09  5.27e-05  7.60e+02 
 28500| 9.03e+02  8.84e-05  2.73e+03 -1.13e+09  5.27e-05  7.67e+02 
 28750| 9.01e+02  8.81e-05  2.72e+03 -1.13e+09  5.27e-05  7.73e+02 
 29000| 8.98e+02  8.76e-05  2.71e+03 -1.13e+09  5.27e-05  7.80e+02 
 29250| 8.96e+02  8.75e-05  2.71e+03 -1.13e+09  5.27e-05  7.86e+02 
 29500| 8.93e+02  8.71e-05  2.68e+03 -1.13e+09  5.27e-05  7.93e+02 
 29750| 8.91e+02  8.71e-05  2.68e+03 -1.13e+09  5.27e-05  7.99e+02 
 30000| 8.89e+02  8.67e-05  2.69e+03 -1.13e+09  5.27e-05  8.06e+02 
 30250| 8.86e+02  8.65e-05  2.69e+03 -1.13e+09  5.27e-05  8.13e+02 
 30500| 8.84e+02  8.65e-05  2.66e+03 -1.12e+09  5.27e-05  8.20e+02 
 30750| 8.81e+02  8.58e-05  2.64e+03 -1.12e+09  5.27e-05  8.26e+02 
 31000| 1.07e+06  6.19e+01  5.93e+03 -1.07e+09  5.27e-05  8.33e+02 
 31250| 8.77e+02  8.53e-05  2.65e+03 -1.12e+09  5.27e-05  8.40e+02 
 31500| 8.75e+02  8.54e-05  2.62e+03 -1.12e+09  5.27e-05  8.47e+02 
 31750| 8.72e+02  8.53e-05  2.63e+03 -1.12e+09  5.27e-05  8.54e+02 
 32000| 8.70e+02  8.52e-05  2.63e+03 -1.12e+09  5.27e-05  8.60e+02 
 32250| 8.68e+02  8.48e-05  2.60e+03 -1.12e+09  5.27e-05  8.67e+02 
 32500| 8.65e+02  8.41e-05  2.61e+03 -1.12e+09  5.27e-05  8.74e+02 
 32750| 8.63e+02  8.40e-05  2.60e+03 -1.12e+09  5.27e-05  8.81e+02 
 33000| 8.61e+02  8.40e-05  2.58e+03 -1.12e+09  5.27e-05  8.87e+02 
 33250| 8.59e+02  8.39e-05  2.56e+03 -1.12e+09  5.27e-05  8.93e+02 
 33500| 8.56e+02  8.36e-05  2.59e+03 -1.12e+09  5.27e-05  8.99e+02 
 33750| 5.68e+04  4.22e+00  1.07e+05 -1.13e+09  5.27e-05  9.06e+02 
 34000| 8.51e+02  8.32e-05  2.56e+03 -1.12e+09  5.27e-05  9.12e+02 
 34250| 8.48e+02  8.34e-05  2.55e+03 -1.12e+09  5.27e-05  9.19e+02 
 34500| 8.45e+02  8.30e-05  2.55e+03 -1.12e+09  5.27e-05  9.25e+02 
 34750| 8.43e+02  8.26e-05  2.52e+03 -1.11e+09  5.27e-05  9.32e+02 
 35000| 8.40e+02  8.24e-05  2.52e+03 -1.11e+09  5.27e-05  9.38e+02 
 35250| 8.37e+02  8.20e-05  2.54e+03 -1.11e+09  5.27e-05  9.44e+02 
 35500| 8.35e+02  8.19e-05  2.50e+03 -1.11e+09  5.27e-05  9.51e+02 
 35750| 8.32e+02  8.14e-05  2.51e+03 -1.11e+09  5.27e-05  9.57e+02 
 36000| 8.30e+02  8.06e-05  2.49e+03 -1.11e+09  5.27e-05  9.64e+02 
 36250| 8.28e+02  8.07e-05  2.47e+03 -1.11e+09  5.27e-05  9.70e+02 
 36500| 6.57e+04  4.89e+00  8.32e+03 -1.09e+09  5.27e-05  9.77e+02 
 36750| 8.24e+02  7.99e-05  2.49e+03 -1.11e+09  5.27e-05  9.83e+02 
 37000| 8.22e+02  7.99e-05  2.47e+03 -1.11e+09  5.27e-05  9.90e+02 
 37250| 8.19e+02  7.97e-05  2.45e+03 -1.11e+09  5.27e-05  9.96e+02 
 37500| 8.18e+02  7.94e-05  2.45e+03 -1.11e+09  5.27e-05  1.00e+03 
 37750| 8.16e+02  7.92e-05  2.43e+03 -1.11e+09  5.27e-05  1.01e+03 
 38000| 8.14e+02  7.90e-05  2.43e+03 -1.11e+09  5.27e-05  1.02e+03 
 38250| 8.12e+02  7.81e-05  2.41e+03 -1.11e+09  5.27e-05  1.02e+03 
 38500| 8.10e+02  7.84e-05  2.40e+03 -1.11e+09  5.27e-05  1.03e+03 
 38750| 8.08e+02  7.83e-05  2.41e+03 -1.11e+09  5.27e-05  1.03e+03 
 39000| 8.06e+02  7.84e-05  2.41e+03 -1.10e+09  5.27e-05  1.04e+03 
 39250| 6.11e+04  4.55e+00  2.03e+04 -1.08e+09  5.27e-05  1.05e+03 
 39500| 8.03e+02  7.77e-05  2.38e+03 -1.10e+09  5.27e-05  1.05e+03 
 39750| 8.01e+02  7.71e-05  2.36e+03 -1.10e+09  5.27e-05  1.06e+03 
 40000| 7.99e+02  7.71e-05  2.36e+03 -1.10e+09  5.27e-05  1.07e+03 
 40250| 7.97e+02  7.65e-05  2.36e+03 -1.10e+09  5.27e-05  1.07e+03 
 40500| 7.95e+02  7.66e-05  2.36e+03 -1.10e+09  5.27e-05  1.08e+03 
 40750| 7.94e+02  7.67e-05  2.37e+03 -1.10e+09  5.27e-05  1.09e+03 
 41000| 7.92e+02  7.66e-05  2.36e+03 -1.10e+09  5.27e-05  1.09e+03 
 41250| 7.90e+02  7.53e-05  2.30e+03 -1.10e+09  5.27e-05  1.10e+03 
 41500| 7.89e+02  7.55e-05  2.31e+03 -1.10e+09  5.27e-05  1.10e+03 
 41750| 7.87e+02  7.55e-05  2.33e+03 -1.10e+09  5.27e-05  1.11e+03 
 42000| 2.38e+06  1.77e+02  5.12e+01 -1.03e+09  5.27e-05  1.12e+03 
 42250| 7.83e+02  7.52e-05  2.30e+03 -1.10e+09  5.27e-05  1.12e+03 
 42500| 7.82e+02  7.50e-05  2.28e+03 -1.10e+09  5.27e-05  1.13e+03 
 42750| 7.80e+02  7.48e-05  2.29e+03 -1.10e+09  5.27e-05  1.14e+03 
 43000| 7.78e+02  7.45e-05  2.29e+03 -1.10e+09  5.27e-05  1.14e+03 
 43250| 7.77e+02  7.42e-05  2.27e+03 -1.10e+09  5.27e-05  1.15e+03 
 43500| 7.75e+02  7.44e-05  2.27e+03 -1.09e+09  5.27e-05  1.16e+03 
 43750| 7.73e+02  7.36e-05  2.25e+03 -1.09e+09  5.27e-05  1.16e+03 
 44000| 7.72e+02  7.39e-05  2.26e+03 -1.09e+09  5.27e-05  1.17e+03 
 44250| 7.70e+02  7.36e-05  2.25e+03 -1.09e+09  5.27e-05  1.18e+03 
 44500| 7.68e+02  7.37e-05  2.26e+03 -1.09e+09  5.27e-05  1.18e+03 
 44750| 2.36e+05  1.76e+01  1.18e+04 -1.06e+09  5.27e-05  1.19e+03 
 45000| 7.65e+02  7.31e-05  2.24e+03 -1.09e+09  5.27e-05  1.19e+03 
 45250| 7.63e+02  7.28e-05  2.22e+03 -1.09e+09  5.27e-05  1.20e+03 
 45500| 7.62e+02  7.21e-05  2.20e+03 -1.09e+09  5.27e-05  1.21e+03 
 45750| 7.60e+02  7.23e-05  2.21e+03 -1.09e+09  5.27e-05  1.21e+03 
 46000| 7.58e+02  7.19e-05  2.19e+03 -1.09e+09  5.27e-05  1.22e+03 
 46250| 7.57e+02  7.22e-05  2.18e+03 -1.09e+09  5.27e-05  1.23e+03 
 46500| 7.55e+02  7.14e-05  2.18e+03 -1.09e+09  5.27e-05  1.23e+03 
 46750| 7.54e+02  7.14e-05  2.19e+03 -1.09e+09  5.27e-05  1.24e+03 
 47000| 7.52e+02  7.12e-05  2.18e+03 -1.09e+09  5.27e-05  1.25e+03 
 47250| 7.50e+02  7.09e-05  2.16e+03 -1.09e+09  5.27e-05  1.25e+03 
 47500| 1.14e+04  8.49e-01  2.00e+04 -1.09e+09  5.27e-05  1.26e+03 
 47750| 7.47e+02  7.06e-05  2.15e+03 -1.09e+09  5.27e-05  1.27e+03 
 48000| 7.46e+02  7.02e-05  2.15e+03 -1.09e+09  5.27e-05  1.27e+03 
 48250| 7.44e+02  7.07e-05  2.15e+03 -1.08e+09  5.27e-05  1.28e+03 
 48500| 7.43e+02  7.00e-05  2.14e+03 -1.08e+09  5.27e-05  1.29e+03 
 48750| 7.41e+02  6.98e-05  2.12e+03 -1.08e+09  5.27e-05  1.29e+03 
 49000| 7.39e+02  7.00e-05  2.12e+03 -1.08e+09  5.27e-05  1.30e+03 
 49250| 7.38e+02  6.95e-05  2.12e+03 -1.08e+09  5.27e-05  1.31e+03 
 49500| 7.36e+02  6.95e-05  2.12e+03 -1.08e+09  5.27e-05  1.31e+03 
 49750| 7.35e+02  6.86e-05  2.09e+03 -1.08e+09  5.27e-05  1.32e+03 
 50000| 7.33e+02  6.88e-05  2.10e+03 -1.08e+09  5.27e-05  1.32e+03 
 50250| 3.26e+04  2.43e+00  2.81e+03 -1.07e+09  5.27e-05  1.33e+03 
 50500| 7.30e+02  6.85e-05  2.08e+03 -1.08e+09  5.27e-05  1.34e+03 
 50750| 7.29e+02  6.86e-05  2.09e+03 -1.08e+09  5.27e-05  1.34e+03 
 51000| 7.27e+02  6.72e-05  2.05e+03 -1.08e+09  5.27e-05  1.35e+03 
 51250| 7.26e+02  6.77e-05  2.05e+03 -1.08e+09  5.27e-05  1.36e+03 
 51500| 7.24e+02  6.75e-05  2.04e+03 -1.08e+09  5.27e-05  1.36e+03 
 51750| 7.23e+02  6.70e-05  2.03e+03 -1.08e+09  5.27e-05  1.37e+03 
 52000| 7.21e+02  6.75e-05  2.05e+03 -1.08e+09  5.27e-05  1.38e+03 
 52250| 7.20e+02  6.71e-05  2.04e+03 -1.08e+09  5.27e-05  1.38e+03 
 52500| 7.18e+02  6.70e-05  2.04e+03 -1.08e+09  5.27e-05  1.39e+03 
 52750| 7.17e+02  6.61e-05  2.01e+03 -1.08e+09  5.27e-05  1.40e+03 
 53000| 4.23e+04  3.15e+00  1.48e+04 -1.09e+09  5.27e-05  1.40e+03 
 53250| 7.14e+02  6.61e-05  2.02e+03 -1.07e+09  5.27e-05  1.41e+03 
 53500| 7.13e+02  6.60e-05  2.01e+03 -1.07e+09  5.27e-05  1.41e+03 
 53750| 7.11e+02  6.55e-05  1.98e+03 -1.07e+09  5.27e-05  1.42e+03 
 54000| 7.10e+02  6.56e-05  1.99e+03 -1.07e+09  5.27e-05  1.43e+03 
 54250| 7.02e+02  8.02e-05  1.71e+03 -1.07e+09  5.27e-05  1.43e+03 
 54500| 7.01e+02  7.40e-05  1.98e+03 -1.07e+09  5.27e-05  1.44e+03 
 54750| 6.99e+02  6.94e-05  1.96e+03 -1.07e+09  5.27e-05  1.45e+03 
 55000| 6.98e+02  6.78e-05  1.97e+03 -1.07e+09  5.27e-05  1.45e+03 
 55250| 6.96e+02  6.71e-05  1.93e+03 -1.07e+09  5.27e-05  1.46e+03 
 55500| 6.95e+02  6.58e-05  1.94e+03 -1.07e+09  5.27e-05  1.47e+03 
 55750| 1.09e+07  8.10e+02  1.23e+05 -9.61e+08  5.27e-05  1.47e+03 
 56000| 6.92e+02  6.39e-05  1.93e+03 -1.07e+09  5.27e-05  1.48e+03 
 56250| 6.91e+02  6.40e-05  1.93e+03 -1.07e+09  5.27e-05  1.49e+03 
 56500| 6.89e+02  6.35e-05  1.92e+03 -1.07e+09  5.27e-05  1.49e+03 
 56750| 6.88e+02  6.29e-05  1.89e+03 -1.07e+09  5.27e-05  1.50e+03 
 57000| 6.87e+02  6.31e-05  1.88e+03 -1.07e+09  5.27e-05  1.51e+03 
 57250| 6.85e+02  6.26e-05  1.88e+03 -1.07e+09  5.27e-05  1.51e+03 
 57500| 6.84e+02  6.25e-05  1.90e+03 -1.07e+09  5.27e-05  1.52e+03 
 57750| 6.83e+02  6.20e-05  1.88e+03 -1.07e+09  5.27e-05  1.53e+03 
 58000| 6.81e+02  6.18e-05  1.86e+03 -1.07e+09  5.27e-05  1.53e+03 
 58250| 6.80e+02  6.16e-05  1.86e+03 -1.07e+09  5.27e-05  1.54e+03 
 58500| 8.33e+04  6.20e+00  2.28e+04 -1.05e+09  5.27e-05  1.54e+03 
 58750| 6.77e+02  6.12e-05  1.86e+03 -1.06e+09  5.27e-05  1.55e+03 
 59000| 6.76e+02  6.17e-05  1.87e+03 -1.06e+09  5.27e-05  1.56e+03 
 59250| 6.74e+02  6.13e-05  1.84e+03 -1.06e+09  5.27e-05  1.56e+03 
 59500| 6.73e+02  6.07e-05  1.84e+03 -1.06e+09  5.27e-05  1.57e+03 
 59750| 6.72e+02  6.13e-05  1.84e+03 -1.06e+09  5.27e-05  1.58e+03 
 60000| 6.70e+02  6.06e-05  1.84e+03 -1.06e+09  5.27e-05  1.58e+03 
 60250| 6.69e+02  6.06e-05  1.81e+03 -1.06e+09  5.27e-05  1.59e+03 
 60500| 6.68e+02  6.02e-05  1.81e+03 -1.06e+09  5.27e-05  1.60e+03 
 60750| 6.66e+02  6.03e-05  1.81e+03 -1.06e+09  5.27e-05  1.60e+03 
 61000| 6.65e+02  5.99e-05  1.81e+03 -1.06e+09  5.27e-05  1.61e+03 
 61250| 1.01e+06  7.50e+01  1.66e+06 -9.94e+08  5.27e-05  1.62e+03 
 61500| 6.62e+02  5.96e-05  1.80e+03 -1.06e+09  5.27e-05  1.62e+03 
 61750| 6.61e+02  5.92e-05  1.79e+03 -1.06e+09  5.27e-05  1.63e+03 
 62000| 6.60e+02  5.96e-05  1.78e+03 -1.06e+09  5.27e-05  1.64e+03 
 62250| 6.59e+02  5.91e-05  1.77e+03 -1.06e+09  5.27e-05  1.64e+03 
 62500| 6.57e+02  5.87e-05  1.77e+03 -1.06e+09  5.27e-05  1.65e+03 
 62750| 6.56e+02  5.89e-05  1.78e+03 -1.06e+09  5.27e-05  1.66e+03 
 63000| 6.55e+02  5.85e-05  1.77e+03 -1.06e+09  5.27e-05  1.66e+03 
 63250| 6.53e+02  5.87e-05  1.76e+03 -1.06e+09  5.27e-05  1.67e+03 
 63500| 6.52e+02  5.81e-05  1.76e+03 -1.06e+09  5.27e-05  1.68e+03 
 63750| 6.51e+02  5.83e-05  1.77e+03 -1.06e+09  5.27e-05  1.68e+03 
 64000| 3.45e+03  2.50e-01  1.68e+03 -1.06e+09  5.27e-05  1.69e+03 
 64250| 6.48e+02  5.77e-05  1.74e+03 -1.05e+09  5.27e-05  1.70e+03 
 64500| 6.47e+02  5.74e-05  1.74e+03 -1.05e+09  5.27e-05  1.70e+03 
 64750| 6.45e+02  5.76e-05  1.73e+03 -1.05e+09  5.27e-05  1.71e+03 
 65000| 6.44e+02  5.73e-05  1.73e+03 -1.05e+09  5.27e-05  1.71e+03 
 65250| 6.43e+02  5.73e-05  1.72e+03 -1.05e+09  5.27e-05  1.72e+03 
