===============================================================================
                                     CVXPY                                     
                                     v1.4.1                                    
===============================================================================
(CVXPY) Jan 18 07:43:47 AM: Your problem has 40000 variables, 1091 constraints, and 0 parameters.
(CVXPY) Jan 18 07:43:47 AM: It is compliant with the following grammars: DCP, DQCP
(CVXPY) Jan 18 07:43:47 AM: (If you need to solve this problem multiple times, but with different data, consider using parameters.)
(CVXPY) Jan 18 07:43:47 AM: CVXPY will first compile your problem; then, it will invoke a numerical solver to obtain a solution.
(CVXPY) Jan 18 07:43:47 AM: Your problem is compiled with the CPP canonicalization backend.
-------------------------------------------------------------------------------
                                  Compilation                                  
-------------------------------------------------------------------------------
(CVXPY) Jan 18 07:43:47 AM: Compiling problem (target solver=SCS).
(CVXPY) Jan 18 07:43:47 AM: Reduction chain: FlipObjective -> Dcp2Cone -> CvxAttr2Constr -> ConeMatrixStuffing -> SCS
(CVXPY) Jan 18 07:43:47 AM: Applying reduction FlipObjective
(CVXPY) Jan 18 07:43:47 AM: Applying reduction Dcp2Cone
(CVXPY) Jan 18 07:43:48 AM: Applying reduction CvxAttr2Constr
(CVXPY) Jan 18 07:43:49 AM: Applying reduction ConeMatrixStuffing
(CVXPY) Jan 18 07:44:18 AM: Applying reduction SCS
(CVXPY) Jan 18 07:44:18 AM: Finished problem compilation (took 3.129e+01 seconds).
-------------------------------------------------------------------------------
                                Numerical solver                               
-------------------------------------------------------------------------------
(CVXPY) Jan 18 07:44:18 AM: Invoking solver SCS  to obtain a solution.
------------------------------------------------------------------
	       SCS v3.2.4 - Splitting Conic Solver
	(c) Brendan O'Donoghue, Stanford University, 2012
------------------------------------------------------------------
problem:  variables n: 20100, constraints m: 21191
cones: 	  z: primal zero / dual free vars: 1090
	  l: linear vars: 1
	  s: psd vars: 20100, ssize: 1
settings: eps_abs: 1.0e-05, eps_rel: 1.0e-05, eps_infeas: 1.0e-07
	  alpha: 1.50, scale: 1.00e-01, adaptive_scale: 1
	  max_iters: 1000000, normalize: 1, rho_x: 1.00e-06
	  acceleration_lookback: 10, acceleration_interval: 10
lin-sys:  sparse-direct-amd-qdldl
	  nnz(A): 43667, nnz(P): 0
------------------------------------------------------------------
 iter | pri res | dua res |   gap   |   obj   |  scale  | time (s)
------------------------------------------------------------------
     0| 1.99e+07  1.15e+05  3.75e+09 -2.32e+09  1.00e-01  1.00e-01 
   250| 2.61e+03  9.22e-03  3.30e+05 -1.21e+09  1.66e-05  6.81e+00 
   500| 1.37e+03  5.75e-05  1.17e+03 -1.21e+09  1.66e-05  1.36e+01 
   750| 1.37e+03  4.72e-05  1.25e+03 -1.21e+09  1.66e-05  2.04e+01 
  1000| 1.37e+03  4.19e-05  1.20e+03 -1.21e+09  1.66e-05  2.72e+01 
  1250| 1.37e+03  3.80e-05  1.14e+03 -1.21e+09  1.66e-05  3.38e+01 
  1500| 1.37e+03  3.48e-05  1.14e+03 -1.21e+09  1.66e-05  4.02e+01 
  1750| 1.37e+03  3.26e-05  1.10e+03 -1.21e+09  1.66e-05  4.68e+01 
  2000| 1.37e+03  3.06e-05  1.15e+03 -1.21e+09  1.66e-05  5.35e+01 
  2250| 1.36e+03  2.01e-04  5.48e+03 -1.21e+09  5.27e-05  6.03e+01 
  2500| 1.35e+03  1.95e-04  5.35e+03 -1.21e+09  5.27e-05  6.69e+01 
  2750| 1.35e+03  1.87e-04  5.28e+03 -1.21e+09  5.27e-05  7.37e+01 
  3000| 1.34e+03  1.79e-04  5.19e+03 -1.21e+09  5.27e-05  8.03e+01 
  3250| 1.34e+03  1.74e-04  5.12e+03 -1.20e+09  5.27e-05  8.66e+01 
  3500| 8.01e+06  5.04e+02  9.35e+05 -9.94e+08  5.27e-05  9.31e+01 
  3750| 1.33e+03  1.66e-04  4.96e+03 -1.20e+09  5.27e-05  9.95e+01 
  4000| 1.32e+03  1.62e-04  4.90e+03 -1.20e+09  5.27e-05  1.06e+02 
  4250| 1.32e+03  1.61e-04  4.85e+03 -1.20e+09  5.27e-05  1.13e+02 
  4500| 1.31e+03  1.59e-04  4.80e+03 -1.20e+09  5.27e-05  1.19e+02 
  4750| 1.31e+03  1.67e-04  4.70e+03 -1.20e+09  5.27e-05  1.26e+02 
  5000| 1.30e+03  1.64e-04  4.72e+03 -1.20e+09  5.27e-05  1.33e+02 
  5250| 1.29e+03  1.58e-04  4.64e+03 -1.20e+09  5.27e-05  1.39e+02 
  5500| 1.29e+03  1.52e-04  4.61e+03 -1.20e+09  5.27e-05  1.46e+02 
  5750| 1.28e+03  1.48e-04  4.56e+03 -1.20e+09  5.27e-05  1.53e+02 
  6000| 1.28e+03  1.48e-04  4.52e+03 -1.19e+09  5.27e-05  1.60e+02 
  6250| 1.07e+05  7.93e+00  2.05e+04 -1.17e+09  5.27e-05  1.66e+02 
  6500| 1.27e+03  1.47e-04  4.44e+03 -1.19e+09  5.27e-05  1.73e+02 
  6750| 1.26e+03  1.46e-04  4.38e+03 -1.19e+09  5.27e-05  1.80e+02 
  7000| 1.26e+03  1.44e-04  4.35e+03 -1.19e+09  5.27e-05  1.86e+02 
  7250| 1.25e+03  1.43e-04  4.33e+03 -1.19e+09  5.27e-05  1.93e+02 
  7500| 1.25e+03  1.41e-04  4.29e+03 -1.19e+09  5.27e-05  1.99e+02 
  7750| 1.24e+03  1.40e-04  4.23e+03 -1.19e+09  5.27e-05  2.06e+02 
  8000| 1.24e+03  1.38e-04  4.23e+03 -1.19e+09  5.27e-05  2.13e+02 
  8250| 1.23e+03  1.37e-04  4.21e+03 -1.19e+09  5.27e-05  2.20e+02 
  8500| 1.22e+03  1.35e-04  4.14e+03 -1.19e+09  5.27e-05  2.27e+02 
  8750| 1.22e+03  1.34e-04  4.15e+03 -1.19e+09  5.27e-05  2.34e+02 
  9000| 2.46e+05  1.83e+01  7.24e+03 -1.15e+09  5.27e-05  2.41e+02 
  9250| 1.21e+03  1.31e-04  4.08e+03 -1.18e+09  5.27e-05  2.48e+02 
  9500| 1.20e+03  1.31e-04  4.06e+03 -1.18e+09  5.27e-05  2.54e+02 
  9750| 1.20e+03  1.30e-04  4.03e+03 -1.18e+09  5.27e-05  2.61e+02 
 10000| 1.19e+03  1.29e-04  3.97e+03 -1.18e+09  5.27e-05  2.68e+02 
 10250| 1.19e+03  1.29e-04  3.99e+03 -1.18e+09  5.27e-05  2.75e+02 
 10500| 1.18e+03  1.27e-04  3.94e+03 -1.18e+09  5.27e-05  2.82e+02 
 10750| 1.18e+03  1.26e-04  3.94e+03 -1.18e+09  5.27e-05  2.88e+02 
 11000| 1.17e+03  1.25e-04  3.90e+03 -1.18e+09  5.27e-05  2.95e+02 
 11250| 1.17e+03  1.25e-04  3.88e+03 -1.18e+09  5.27e-05  3.02e+02 
 11500| 1.16e+03  1.25e-04  3.88e+03 -1.18e+09  5.27e-05  3.08e+02 
 11750| 4.69e+05  3.49e+01  2.01e+04 -1.13e+09  5.27e-05  3.15e+02 
 12000| 1.16e+03  1.22e-04  3.80e+03 -1.17e+09  5.27e-05  3.21e+02 
 12250| 1.15e+03  1.22e-04  3.79e+03 -1.17e+09  5.27e-05  3.28e+02 
 12500| 1.15e+03  1.21e-04  3.76e+03 -1.17e+09  5.27e-05  3.34e+02 
 12750| 1.14e+03  1.21e-04  3.76e+03 -1.17e+09  5.27e-05  3.41e+02 
 13000| 1.14e+03  1.20e-04  3.74e+03 -1.17e+09  5.27e-05  3.47e+02 
 13250| 1.13e+03  1.20e-04  3.72e+03 -1.17e+09  5.27e-05  3.54e+02 
 13500| 1.13e+03  1.18e-04  3.67e+03 -1.17e+09  5.27e-05  3.60e+02 
 13750| 1.12e+03  1.18e-04  3.70e+03 -1.17e+09  5.27e-05  3.67e+02 
 14000| 1.12e+03  1.17e-04  3.65e+03 -1.17e+09  5.27e-05  3.74e+02 
 14250| 1.12e+03  1.17e-04  3.67e+03 -1.17e+09  5.27e-05  3.81e+02 
 14500| 6.53e+05  4.86e+01  1.11e+04 -1.13e+09  5.27e-05  3.88e+02 
 14750| 1.11e+03  1.15e-04  3.63e+03 -1.17e+09  5.27e-05  3.94e+02 
 15000| 1.10e+03  1.15e-04  3.60e+03 -1.17e+09  5.27e-05  4.01e+02 
 15250| 1.10e+03  1.13e-04  3.57e+03 -1.17e+09  5.27e-05  4.08e+02 
 15500| 1.09e+03  1.13e-04  3.56e+03 -1.16e+09  5.27e-05  4.15e+02 
 15750| 1.09e+03  1.13e-04  3.55e+03 -1.16e+09  5.27e-05  4.22e+02 
 16000| 1.09e+03  1.12e-04  3.52e+03 -1.16e+09  5.27e-05  4.29e+02 
 16250| 1.08e+03  1.12e-04  3.50e+03 -1.16e+09  5.27e-05  4.35e+02 
 16500| 1.08e+03  1.11e-04  3.48e+03 -1.16e+09  5.27e-05  4.42e+02 
 16750| 1.07e+03  1.11e-04  3.47e+03 -1.16e+09  5.27e-05  4.49e+02 
 17000| 1.07e+03  1.11e-04  3.47e+03 -1.16e+09  5.27e-05  4.56e+02 
