===============================================================================
                                     CVXPY                                     
                                     v1.4.1                                    
===============================================================================
(CVXPY) Jan 17 08:48:33 PM: Your problem has 40000 variables, 1095 constraints, and 0 parameters.
(CVXPY) Jan 17 08:48:33 PM: It is compliant with the following grammars: DCP, DQCP
(CVXPY) Jan 17 08:48:33 PM: (If you need to solve this problem multiple times, but with different data, consider using parameters.)
(CVXPY) Jan 17 08:48:33 PM: CVXPY will first compile your problem; then, it will invoke a numerical solver to obtain a solution.
(CVXPY) Jan 17 08:48:33 PM: Your problem is compiled with the CPP canonicalization backend.
-------------------------------------------------------------------------------
                                  Compilation                                  
-------------------------------------------------------------------------------
(CVXPY) Jan 17 08:48:33 PM: Compiling problem (target solver=SCS).
(CVXPY) Jan 17 08:48:33 PM: Reduction chain: FlipObjective -> Dcp2Cone -> CvxAttr2Constr -> ConeMatrixStuffing -> SCS
(CVXPY) Jan 17 08:48:33 PM: Applying reduction FlipObjective
(CVXPY) Jan 17 08:48:33 PM: Applying reduction Dcp2Cone
(CVXPY) Jan 17 08:48:34 PM: Applying reduction CvxAttr2Constr
(CVXPY) Jan 17 08:48:35 PM: Applying reduction ConeMatrixStuffing
(CVXPY) Jan 17 08:49:07 PM: Applying reduction SCS
(CVXPY) Jan 17 08:49:08 PM: Finished problem compilation (took 3.535e+01 seconds).
-------------------------------------------------------------------------------
                                Numerical solver                               
-------------------------------------------------------------------------------
(CVXPY) Jan 17 08:49:08 PM: Invoking solver SCS  to obtain a solution.
------------------------------------------------------------------
	       SCS v3.2.4 - Splitting Conic Solver
	(c) Brendan O'Donoghue, Stanford University, 2012
------------------------------------------------------------------
problem:  variables n: 20100, constraints m: 21195
cones: 	  z: primal zero / dual free vars: 1094
	  l: linear vars: 1
	  s: psd vars: 20100, ssize: 1
settings: eps_abs: 1.0e-05, eps_rel: 1.0e-05, eps_infeas: 1.0e-07
	  alpha: 1.50, scale: 1.00e-01, adaptive_scale: 1
	  max_iters: 1000000, normalize: 1, rho_x: 1.00e-06
	  acceleration_lookback: 10, acceleration_interval: 10
lin-sys:  sparse-direct-amd-qdldl
	  nnz(A): 43679, nnz(P): 0
------------------------------------------------------------------
 iter | pri res | dua res |   gap   |   obj   |  scale  | time (s)
------------------------------------------------------------------
     0| 1.99e+07  1.18e+05  3.77e+09 -2.33e+09  1.00e-01  1.81e-01 
   250| 4.01e+03  1.51e-02  4.94e+05 -1.38e+09  2.03e-05  7.69e+00 
   500| 2.19e+03  2.36e-04  1.82e+03 -1.38e+09  2.03e-05  1.52e+01 
   750| 2.19e+03  1.25e-04  1.74e+03 -1.38e+09  2.03e-05  2.27e+01 
  1000| 2.19e+03  7.42e-05  1.59e+03 -1.38e+09  2.03e-05  3.05e+01 
  1250| 2.18e+03  5.52e-05  1.67e+03 -1.38e+09  2.03e-05  3.79e+01 
  1500| 2.18e+03  4.62e-05  1.66e+03 -1.38e+09  2.03e-05  4.58e+01 
  1750| 2.18e+03  4.39e-05  1.65e+03 -1.38e+09  2.03e-05  5.25e+01 
  2000| 2.18e+03  4.17e-05  1.58e+03 -1.38e+09  2.03e-05  5.91e+01 
  2250| 2.18e+03  4.02e-05  1.57e+03 -1.38e+09  2.03e-05  6.57e+01 
  2500| 2.18e+03  3.87e-05  1.54e+03 -1.38e+09  2.03e-05  7.24e+01 
  2750| 2.17e+03  3.61e-04  8.81e+03 -1.38e+09  6.43e-05  7.90e+01 
  3000| 2.17e+03  3.37e-04  8.62e+03 -1.38e+09  6.43e-05  8.56e+01 
  3250| 2.16e+03  3.20e-04  8.44e+03 -1.37e+09  6.43e-05  9.21e+01 
  3500| 2.16e+03  3.08e-04  8.29e+03 -1.37e+09  6.43e-05  9.87e+01 
  3750| 2.15e+03  2.96e-04  8.13e+03 -1.37e+09  6.43e-05  1.05e+02 
  4000| 1.33e+05  1.20e+01  1.28e+05 -1.34e+09  6.43e-05  1.12e+02 
  4250| 2.15e+03  2.79e-04  7.86e+03 -1.37e+09  6.43e-05  1.18e+02 
  4500| 2.14e+03  2.73e-04  7.72e+03 -1.37e+09  6.43e-05  1.25e+02 
  4750| 2.14e+03  2.68e-04  7.60e+03 -1.37e+09  6.43e-05  1.32e+02 
  5000| 2.13e+03  2.63e-04  7.49e+03 -1.36e+09  6.43e-05  1.38e+02 
  5250| 2.13e+03  2.59e-04  7.37e+03 -1.36e+09  6.43e-05  1.45e+02 
  5500| 2.12e+03  2.55e-04  7.28e+03 -1.36e+09  6.43e-05  1.52e+02 
  5750| 2.12e+03  2.51e-04  7.14e+03 -1.36e+09  6.43e-05  1.59e+02 
  6000| 2.11e+03  2.47e-04  7.04e+03 -1.36e+09  6.43e-05  1.65e+02 
  6250| 2.11e+03  2.44e-04  6.97e+03 -1.36e+09  6.43e-05  1.72e+02 
  6500| 2.10e+03  2.39e-04  6.86e+03 -1.36e+09  6.43e-05  1.79e+02 
  6750| 4.14e+04  3.78e+00  2.86e+04 -1.34e+09  6.43e-05  1.85e+02 
  7000| 2.10e+03  2.34e-04  6.74e+03 -1.35e+09  6.43e-05  1.92e+02 
  7250| 2.09e+03  2.31e-04  6.65e+03 -1.35e+09  6.43e-05  1.99e+02 
  7500| 2.09e+03  2.28e-04  6.55e+03 -1.35e+09  6.43e-05  2.06e+02 
  7750| 2.08e+03  2.25e-04  6.47e+03 -1.35e+09  6.43e-05  2.12e+02 
  8000| 2.08e+03  2.23e-04  6.42e+03 -1.35e+09  6.43e-05  2.19e+02 
  8250| 2.07e+03  2.20e-04  6.37e+03 -1.35e+09  6.43e-05  2.26e+02 
  8500| 2.07e+03  2.18e-04  6.30e+03 -1.35e+09  6.43e-05  2.33e+02 
  8750| 2.07e+03  2.16e-04  6.23e+03 -1.35e+09  6.43e-05  2.39e+02 
  9000| 2.06e+03  2.14e-04  6.17e+03 -1.34e+09  6.43e-05  2.46e+02 
  9250| 2.06e+03  2.11e-04  6.11e+03 -1.34e+09  6.43e-05  2.53e+02 
  9500| 3.11e+06  2.83e+02  8.76e+04 -1.28e+09  6.43e-05  2.60e+02 
  9750| 2.05e+03  2.07e-04  5.97e+03 -1.34e+09  6.43e-05  2.67e+02 
 10000| 2.05e+03  2.05e-04  5.94e+03 -1.34e+09  6.43e-05  2.74e+02 
 10250| 2.04e+03  2.03e-04  5.89e+03 -1.34e+09  6.43e-05  2.80e+02 
 10500| 2.04e+03  2.02e-04  5.86e+03 -1.34e+09  6.43e-05  2.87e+02 
 10750| 2.03e+03  2.00e-04  5.78e+03 -1.34e+09  6.43e-05  2.94e+02 
 11000| 2.03e+03  1.98e-04  5.74e+03 -1.34e+09  6.43e-05  3.01e+02 
