===============================================================================
                                     CVXPY                                     
                                     v1.4.1                                    
===============================================================================
(CVXPY) Jan 20 05:39:29 PM: Your problem has 40000 variables, 1091 constraints, and 0 parameters.
(CVXPY) Jan 20 05:39:29 PM: It is compliant with the following grammars: DCP, DQCP
(CVXPY) Jan 20 05:39:29 PM: (If you need to solve this problem multiple times, but with different data, consider using parameters.)
(CVXPY) Jan 20 05:39:29 PM: CVXPY will first compile your problem; then, it will invoke a numerical solver to obtain a solution.
(CVXPY) Jan 20 05:39:29 PM: Your problem is compiled with the CPP canonicalization backend.
-------------------------------------------------------------------------------
                                  Compilation                                  
-------------------------------------------------------------------------------
(CVXPY) Jan 20 05:39:29 PM: Compiling problem (target solver=SCS).
(CVXPY) Jan 20 05:39:29 PM: Reduction chain: FlipObjective -> Dcp2Cone -> CvxAttr2Constr -> ConeMatrixStuffing -> SCS
(CVXPY) Jan 20 05:39:29 PM: Applying reduction FlipObjective
(CVXPY) Jan 20 05:39:29 PM: Applying reduction Dcp2Cone
(CVXPY) Jan 20 05:39:30 PM: Applying reduction CvxAttr2Constr
(CVXPY) Jan 20 05:39:30 PM: Applying reduction ConeMatrixStuffing
(CVXPY) Jan 20 05:39:59 PM: Applying reduction SCS
(CVXPY) Jan 20 05:40:00 PM: Finished problem compilation (took 3.065e+01 seconds).
-------------------------------------------------------------------------------
                                Numerical solver                               
-------------------------------------------------------------------------------
(CVXPY) Jan 20 05:40:00 PM: Invoking solver SCS  to obtain a solution.
------------------------------------------------------------------
	       SCS v3.2.4 - Splitting Conic Solver
	(c) Brendan O'Donoghue, Stanford University, 2012
------------------------------------------------------------------
problem:  variables n: 20100, constraints m: 21191
cones: 	  z: primal zero / dual free vars: 1090
	  l: linear vars: 1
	  s: psd vars: 20100, ssize: 1
settings: eps_abs: 1.0e-05, eps_rel: 1.0e-05, eps_infeas: 1.0e-07
	  alpha: 1.50, scale: 2.50e-04, adaptive_scale: 0
	  max_iters: 1000000, normalize: 1, rho_x: 1.00e-06
lin-sys:  sparse-direct-amd-qdldl
	  nnz(A): 43667, nnz(P): 0
------------------------------------------------------------------
 iter | pri res | dua res |   gap   |   obj   |  scale  | time (s)
------------------------------------------------------------------
     0| 1.99e+07  2.68e+02  1.04e+09 -5.29e+08  2.50e-04  9.38e-02 
   250| 8.05e+03  1.52e-01  6.69e+05 -4.07e+09  2.50e-04  6.57e+00 
   500| 1.20e+04  1.62e-01  1.02e+06 -4.04e+09  2.50e-04  1.30e+01 
   750| 2.00e+04  2.55e-01  1.73e+06 -4.01e+09  2.50e-04  1.93e+01 
  1000| 5.47e+04  6.79e-01  4.79e+06 -3.95e+09  2.50e-04  2.57e+01 
  1250| 1.96e+03  1.02e+01  2.34e+08 -1.49e+09  2.50e-04  3.20e+01 
  1500| 1.74e+03  7.99e-01  1.89e+07 -1.37e+09  2.50e-04  3.84e+01 
  1750| 1.46e+03  2.29e-02  1.48e+05 -1.34e+09  2.50e-04  4.48e+01 
  2000| 1.36e+03  2.48e-02  4.85e+05 -1.32e+09  2.50e-04  5.12e+01 
  2250| 1.36e+03  8.72e-03  1.65e+05 -1.32e+09  2.50e-04  5.75e+01 
  2500| 1.37e+03  6.18e-03  8.59e+04 -1.31e+09  2.50e-04  6.39e+01 
  2750| 1.38e+03  3.85e-03  7.15e+04 -1.31e+09  2.50e-04  7.02e+01 
  3000| 1.36e+03  4.75e-03  6.91e+04 -1.30e+09  2.50e-04  7.66e+01 
  3250| 1.34e+03  3.96e-03  6.88e+04 -1.30e+09  2.50e-04  8.28e+01 
  3500| 1.33e+03  3.51e-03  6.46e+04 -1.29e+09  2.50e-04  8.91e+01 
  3750| 1.33e+03  4.30e-03  6.41e+04 -1.29e+09  2.50e-04  9.52e+01 
  4000| 1.33e+03  3.21e-03  6.11e+04 -1.28e+09  2.50e-04  1.01e+02 
  4250| 1.32e+03  3.31e-03  6.04e+04 -1.28e+09  2.50e-04  1.08e+02 
  4500| 1.31e+03  3.31e-03  5.90e+04 -1.27e+09  2.50e-04  1.14e+02 
  4750| 1.29e+03  2.99e-03  5.77e+04 -1.27e+09  2.50e-04  1.20e+02 
  5000| 1.29e+03  3.12e-03  5.72e+04 -1.26e+09  2.50e-04  1.26e+02 
  5250| 1.29e+03  2.98e-03  5.52e+04 -1.26e+09  2.50e-04  1.33e+02 
